X,Y,Z
-36,605,988
-42,616,994
-46,625,993
-42,611,1000
-40,619,988
-33,625,990
-40,625,995
-31,623,990
-34,623,996
-41,615,991
-51,621,1002
-43,631,1000
-40,621,996
-45,627,1012
-35,622,986
-37,625,996
-45,615,998
-40,615,994
-36,628,987
-42,612,997
-46,607,996
-32,608,989
-54,619,1000
-35,623,1002
-45,627,995
-37,612,998
-31,628,1000
-47,613,1002
-42,620,994
-35,614,993
-43,609,1002
-32,622,991
-47,618,982
-39,615,986
-44,615,988
-40,607,1004
-48,624,1001
-32,615,996
-43,621,995
-48,622,1004
-39,624,996
-39,613,997
-41,621,1003
-37,618,999
-38,625,994
-25,612,994
-45,622,999
-50,619,995
-24,608,997
-46,622,990
-48,614,1001
-21,614,997
-46,608,994
-60,618,976
-55,629,960
-50,619,965
-63,628,961
-47,634,963
-50,633,959
-52,633,956
-69,631,960
-63,626,945
-51,637,944
-67,643,944
-58,645,930
-75,646,934
-68,644,929
-73,662,916
-72,661,917
-70,680,891
-71,669,897
-54,668,861
-51,654,849
-66,659,868
-40,666,858
-50,673,850
-31,674,854
-21,669,875
-31,681,873
-5,703,879
-11,689,892
5,694,908
18,708,919
42,707,929
34,707,941
39,725,956
52,716,986
47,726,1003
55,744,1025
57,736,1040
62,728,1063
72,739,1073
51,745,1102
60,745,1116
60,739,1157
51,745,1160
30,736,1169
25,724,1177
33,734,1199
32,712,1214
34,704,1196
24,692,1215
24,678,1212
32,678,1216
27,660,1218
13,658,1218
21,642,1226
4,629,1219
2,637,1221
2,617,1202
0,602,1214
12,592,1208
-8,581,1198
-19,588,1195
-14,579,1181
-4,574,1187
-1,550,1186
-1,548,1181
-13,561,1164
3,543,1187
-3,521,1156
-4,521,1162
-10,503,1168
-1,506,1155
-11,468,1150
-13,484,1166
-12,469,1153
-4,465,1156
-5,455,1151
-18,461,1158
-4,451,1154
-14,449,1159
-7,434,1153
-10,441,1153
-8,431,1149
-21,436,1160
-10,430,1157
-18,421,1164
-16,423,1164
-13,421,1149
-8,429,1174
-22,411,1190
-22,408,1199
-27,419,1212
-15,426,1222
-32,418,1225
-36,420,1242
-40,427,1249
-40,429,1263
-37,444,1279
-53,457,1281
-71,454,1302
-64,470,1301
-77,492,1312
-129,585,1370
-151,609,1384
-165,633,1395
-177,667,1406
-197,702,1412
-193,721,1416
-215,736,1417
-214,755,1428
-225,786,1433
-251,798,1438
-258,825,1460
-262,842,1458
-273,864,1458
-279,889,1475
-296,884,1482
-296,899,1489
-306,908,1502
-307,908,1500
-295,903,1490
-304,921,1492
-289,904,1497
-285,905,1495
-288,906,1508
-303,912,1496
-303,916,1492
-296,910,1501
-303,923,1510
-312,928,1499
-310,928,1502
-306,929,1496
-311,927,1486
-317,945,1500
-318,959,1525
-326,956,1533
-320,961,1545
-330,954,1545
-335,967,1569
-336,973,1575
-333,980,1596
-347,962,1606
-344,963,1623
-348,966,1627
-350,966,1634
-350,977,1647
-347,981,1651
-338,982,1664
-354,982,1676
-349,989,1667
-346,980,1687
-350,991,1703
-349,985,1718
-337,983,1707
-342,991,1734
-344,985,1734
-354,973,1745
-345,960,1753
-348,974,1762
-353,973,1752
-338,969,1761
-339,974,1749
-340,972,1762
-354,972,1756
-363,960,1751
-337,959,1765
-349,958,1769
-342,967,1756
-356,972,1745
-331,967,1761
-343,961,1762
-341,955,1749
-344,967,1740
-338,956,1763
-344,967,1751
-349,957,1752
-340,963,1764
-505,1502,2011
-471,1441,1239
497,-347,712
-247,1216,1236
937,-975,-395
465,496,-380
573,407,-356
811,-905,-136
-115,1235,708
888,-769,-21
-328,1689,1213
11,222,1501
858,-943,633
886,-956,361
382,-280,1310
-448,1120,1452
703,321,-603
-91,180,1648
1037,-1124,88
452,704,-660
2,1466,-312
233,1145,-458
959,85,-529
472,-820,1409
-280,1720,-144
396,-616,1447
955,35,-184
178,1480,-508
146,1445,-450
535,695,-391
980,-1098,711
-331,518,842
1000,10,65
-298,1630,23
-54,10,1186
297,-780,1411
61,-194,1216
-440,1255,216
574,759,-244
180,-740,1295
741,509,45
-284,1633,-223
-405,399,440
-399,428,344
-257,1570,-255
696,640,218
40,-358,772
1036,340,585
69,1600,-314
-285,1612,-262
-267,1537,-294
-170,1582,-291
178,1491,-88
591,1123,183
1020,241,850
883,-859,1143
500,-911,1151
-19,-267,564
-424,822,-111
-33,1507,-234
701,951,387
991,-537,1110
384,-892,969
-380,281,150
-163,1620,-293
734,765,418
845,-917,1198
31,-568,664
-353,1337,-243
547,1338,212
896,-749,1139
87,-586,763
-290,1290,-238
557,1142,188
875,-839,1170
36,-402,643
-215,1466,-242
808,656,539
829,-1087,1230
-310,132,207
463,1404,79
862,-740,1167
-31,-335,599
-192,1477,-272
774,739,463
706,-924,1269
-276,135,204
-17,1510,-223
1072,196,890
445,-992,1020
-412,688,-81
420,1455,19
800,706,481
667,-875,1193
-371,139,173
64,1583,-171
1073,-137,1015
188,-733,888
-315,1220,-227
610,1228,318
839,-882,1199
-207,-47,386
-80,1511,-233
1072,356,825
341,-872,980
-348,1025,-162
547,1178,156
831,-839,1225
-159,-103,383
-240,1662,-300
1042,330,860
386,-858,964
-389,906,-96
526,1278,146
900,-843,1214
-155,-221,503
-84,1508,-245
990,421,765
513,-922,1111
-431,823,-64
513,1297,149
862,-743,1203
10,-406,607
-268,1566,-245
984,398,800
526,-850,1068
-484,498,26
392,1442,32
1003,-412,1114
74,-557,764
-308,1399,-264
704,971,404
820,-972,1229
-214,-39,371
-157,1577,-254
1001,466,770
482,-864,1015
-446,731,-59
419,1486,13
974,-618,1104
47,-611,715
-64,1516,-171
1129,159,919
201,-792,913
-349,1089,-141
557,1267,193
876,-859,1259
-171,-100,362
-151,1495,-250
1109,287,834
425,-924,981
-431,744,-88
390,1559,24
934,-761,1154
-115,-131,466
-150,1470,-224
934,616,643
534,-951,1138
-474,406,48
291,1535,-58
1054,-280,1077
119,-646,786
-279,1374,-225
687,857,394
755,-897,1198
-396,228,174
205,1526,-77
1091,-31,994
187,-903,866
-272,1328,-232
681,940,397
743,-945,1187
-336,113,255
84,1546,-184
1044,-124,1021
162,-685,839
-352,1114,-218
564,1246,302
841,-836,1177
-59,-287,546
-155,1485,-237
859,525,640
686,-921,1163
-389,391,73
225,1570,-82
1020,-312,1073
124,-682,747
-302,1374,-169
716,744,472
742,-907,1158
-167,-89,388
-127,1487,-232
944,403,734
539,-832,1095
-416,394,31
187,1484,-14
1064,-198,1018
189,-856,875
-268,1244,-188
664,1121,382
802,-965,1173
-210,82,300
-41,1460,-184
1053,159,855
357,-898,1007
-215,1470,-240
763,681,479
708,-941,1164
-343,232,145
118,1536,-154
1075,-75,1016
199,-859,802
-314,1226,-190
592,1081,268
868,-911,1189
-165,-64,406
-85,1526,-235
935,425,688
530,-844,1068
-456,503,32
318,1565,-13
982,-481,1134
66,-663,706
-205,1461,-234
748,644,528
822,-1007,1179
-253,9,290
-152,1597,-221
1023,254,857
442,-913,1069
-460,528,-28
376,1478,103
952,-557,1109
100,-595,706
-316,1374,-248
713,833,495
740,-933,1143
-358,196,173
129,1472,-80
1024,-179,1021
223,-792,882
-413,459,16
-297,777,-74
313,-510,969
124,1252,-175
501,1006,56
49,1290,-223
489,-543,1239
-320,713,300
-324,887,208
137,-333,1220
560,805,-177
662,-685,984
556,-542,1119
914,-88,230
-212,1289,357
785,113,-70
754,-708,624
989,-492,280
190,1064,-264
309,-287,1309
-9,1151,460
169,1005,-163
61,1077,135
-322,944,1235
741,-592,271
-358,1171,1198
150,941,2
679,316,-398
425,585,-234
-16,1026,792
611,-399,611
73,937,331
639,-406,148
-208,571,1436
-109,1076,1249
-78,1017,1213
-113,489,1363
-176,688,1396
-95,971,1245
-137,501,1413
-169,901,1335
-81,705,1271
-167,627,1385
-109,941,1276
-110,572,1340
-152,786,1331
-102,809,1274
-117,589,1352
-139,810,1329
-114,758,1296
-125,628,1329
-140,780,1325
-109,766,1310
-109,662,1320
-132,745,1323
-120,770,1319
-125,704,1305
-126,719,1327
-133,748,1318
-119,713,1317
-131,733,1311
-128,725,1310
-116,729,1319
-123,729,1319
-109,742,1326
-130,737,1306
-115,747,1314
-110,735,1313
-109,723,1334
-122,724,1313
-115,731,1319
-122,729,1317
-119,738,1316
-123,735,1322
-122,715,1319
-124,734,1314
-117,737,1313
-123,720,1319
-108,731,1319
-140,727,1318
-124,730,1321
-124,726,1323
-127,731,1314
-124,727,1316
-114,714,1323
-123,734,1324
-123,735,1307
-117,732,1317
-125,735,1316
-129,731,1313
-111,737,1317
-122,742,1319
-118,726,1319
-123,724,1319
-123,727,1309
-133,729,1317
-104,730,1309
-115,723,1308
-126,723,1313
-111,723,1312
-124,733,1316
-128,731,1320
-121,736,1323
-117,742,1313
-123,728,1322
-108,735,1329
-125,719,1317
-117,742,1330
-126,733,1322
-132,738,1319
-122,738,1317
